Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
06.04.2023 19:00;06.04.2023 19:15;14.387,25;11.601,25;56,50
06.04.2023 19:15;06.04.2023 19:30;14.395,75;11.653,50;56,00
06.04.2023 19:30;06.04.2023 19:45;14.415,25;11.628,50;55,75
06.04.2023 19:45;06.04.2023 20:00;14.259,75;11.245,25;55,50
06.04.2023 20:00;06.04.2023 20:15;14.220,75;10.968,00;55,25
06.04.2023 20:15;06.04.2023 20:30;14.048,50;10.569,75;37,50
06.04.2023 20:30;06.04.2023 20:45;13.924,00;10.168,75;50,25
06.04.2023 20:45;06.04.2023 21:00;13.803,00;9.788,00;131,50
06.04.2023 21:00;06.04.2023 21:15;13.759,75;9.524,75;89,25
06.04.2023 21:15;06.04.2023 21:30;13.581,25;9.137,00;197,00
06.04.2023 21:30;06.04.2023 21:45;13.388,25;8.729,00;258,75
06.04.2023 21:45;06.04.2023 22:00;13.177,50;8.406,25;416,75
06.04.2023 22:00;06.04.2023 22:15;13.138,00;8.304,00;116,25
06.04.2023 22:15;06.04.2023 22:30;12.905,25;7.969,50;46,75
06.04.2023 22:30;06.04.2023 22:45;12.681,00;7.837,00;44,50
06.04.2023 22:45;06.04.2023 23:00;12.373,75;7.502,00;200,25
06.04.2023 23:00;06.04.2023 23:15;12.145,75;7.247,25;59,75
06.04.2023 23:15;06.04.2023 23:30;11.897,50;7.007,00;59,50
06.04.2023 23:30;06.04.2023 23:45;11.674,25;6.857,75;63,75
06.04.2023 23:45;07.04.2023 00:00;11.495,00;6.748,75;60,25
07.04.2023 00:00;07.04.2023 00:15;11.320,25;6.665,25;125,00
07.04.2023 00:15;07.04.2023 00:30;11.185,00;6.603,75;146,25
07.04.2023 00:30;07.04.2023 00:45;11.013,75;6.536,50;145,00
07.04.2023 00:45;07.04.2023 01:00;10.836,75;6.480,25;136,75
07.04.2023 01:00;07.04.2023 01:15;10.633,25;6.365,50;167,00
07.04.2023 01:15;07.04.2023 01:30;10.497,75;6.318,25;245,75
07.04.2023 01:30;07.04.2023 01:45;10.420,00;6.329,50;258,50
07.04.2023 01:45;07.04.2023 02:00;10.304,75;6.292,00;288,50
07.04.2023 02:00;07.04.2023 02:15;10.200,75;6.303,75;172,75
07.04.2023 02:15;07.04.2023 02:30;10.146,50;6.339,50;195,75
07.04.2023 02:30;07.04.2023 02:45;10.133,50;6.390,25;180,00
07.04.2023 02:45;07.04.2023 03:00;10.096,75;6.420,50;124,00
07.04.2023 03:00;07.04.2023 03:15;10.118,50;6.454,00;140,25
07.04.2023 03:15;07.04.2023 03:30;10.096,00;6.434,25;138,00
07.04.2023 03:30;07.04.2023 03:45;10.062,00;6.439,00;138,75
07.04.2023 03:45;07.04.2023 04:00;10.039,25;6.459,25;121,75
07.04.2023 04:00;07.04.2023 04:15;10.126,75;6.603,00;206,00
07.04.2023 04:15;07.04.2023 04:30;10.072,00;6.591,50;192,75
07.04.2023 04:30;07.04.2023 04:45;10.074,75;6.619,00;164,25
07.04.2023 04:45;07.04.2023 05:00;10.069,75;6.635,00;157,25
07.04.2023 05:00;07.04.2023 05:15;10.035,25;6.664,25;94,00
07.04.2023 05:15;07.04.2023 05:30;9.989,50;6.670,25;92,00
07.04.2023 05:30;07.04.2023 05:45;9.940,00;6.636,75;93,50
07.04.2023 05:45;07.04.2023 06:00;9.924,50;6.619,00;104,75
07.04.2023 06:00;07.04.2023 06:15;9.907,00;6.576,75;74,00
07.04.2023 06:15;07.04.2023 06:30;9.896,50;6.620,00;51,75
07.04.2023 06:30;07.04.2023 06:45;9.938,75;6.671,75;52,50
07.04.2023 06:45;07.04.2023 07:00;10.046,00;6.777,00;44,25
07.04.2023 07:00;07.04.2023 07:15;10.219,50;6.851,25;56,25
07.04.2023 07:15;07.04.2023 07:30;10.232,50;6.787,25;49,00
07.04.2023 07:30;07.04.2023 07:45;10.389,75;6.788,25;15,50
07.04.2023 07:45;07.04.2023 08:00;10.582,00;6.779,75;10,00
07.04.2023 08:00;07.04.2023 08:15;10.857,00;6.783,50;14,50
07.04.2023 08:15;07.04.2023 08:30;10.992,50;6.715,00;17,00
07.04.2023 08:30;07.04.2023 08:45;11.222,25;6.698,50;27,25
07.04.2023 08:45;07.04.2023 09:00;11.346,50;6.522,75;41,75
07.04.2023 09:00;07.04.2023 09:15;11.513,00;6.439,00;29,00
07.04.2023 09:15;07.04.2023 09:30;11.615,75;6.224,75;63,75
07.04.2023 09:30;07.04.2023 09:45;11.707,25;5.950,00;181,00
07.04.2023 09:45;07.04.2023 10:00;11.902,75;5.730,00;338,25
07.04.2023 10:00;07.04.2023 10:15;12.040,50;5.453,00;183,00
07.04.2023 10:15;07.04.2023 10:30;12.122,50;5.129,25;295,00
07.04.2023 10:30;07.04.2023 10:45;12.126,25;4.761,75;454,50
07.04.2023 10:45;07.04.2023 11:00;12.243,75;4.558,25;556,50
07.04.2023 11:00;07.04.2023 11:15;12.322,25;4.281,00;570,00
07.04.2023 11:15;07.04.2023 11:30;12.559,50;4.199,50;684,50
07.04.2023 11:30;07.04.2023 11:45;12.734,50;4.126,75;767,50
07.04.2023 11:45;07.04.2023 12:00;12.885,75;4.167,00;773,75
07.04.2023 12:00;07.04.2023 12:15;12.895,75;4.052,00;747,50
07.04.2023 12:15;07.04.2023 12:30;12.789,75;3.910,00;863,50
07.04.2023 12:30;07.04.2023 12:45;12.632,50;3.740,75;983,25
07.04.2023 12:45;07.04.2023 13:00;12.571,75;3.707,00;1.173,00
07.04.2023 13:00;07.04.2023 13:15;12.324,25;3.498,75;1.369,50
07.04.2023 13:15;07.04.2023 13:30;12.071,50;3.256,00;1.525,75
07.04.2023 13:30;07.04.2023 13:45;12.005,75;3.216,00;1.623,25
07.04.2023 13:45;07.04.2023 14:00;11.842,75;3.145,00;1.588,75
07.04.2023 14:00;07.04.2023 14:15;11.743,00;3.180,25;1.559,75
07.04.2023 14:15;07.04.2023 14:30;11.652,25;3.255,50;1.570,00
07.04.2023 14:30;07.04.2023 14:45;11.580,25;3.356,00;1.529,25
07.04.2023 14:45;07.04.2023 15:00;11.485,00;3.434,75;1.536,25
07.04.2023 15:00;07.04.2023 15:15;11.486,25;3.618,50;1.754,75
07.04.2023 15:15;07.04.2023 15:30;11.425,50;3.772,00;1.697,50
07.04.2023 15:30;07.04.2023 15:45;11.397,50;4.014,00;1.372,50
07.04.2023 15:45;07.04.2023 16:00;11.359,25;4.233,75;1.217,50
07.04.2023 16:00;07.04.2023 16:15;11.311,25;4.369,00;1.597,00
07.04.2023 16:15;07.04.2023 16:30;11.281,50;4.630,50;1.408,50
07.04.2023 16:30;07.04.2023 16:45;11.389,75;5.041,00;987,25
07.04.2023 16:45;07.04.2023 17:00;11.483,00;5.451,75;696,25
07.04.2023 17:00;07.04.2023 17:15;11.584,00;5.831,50;834,00
07.04.2023 17:15;07.04.2023 17:30;11.663,00;6.210,50;538,25
07.04.2023 17:30;07.04.2023 17:45;11.765,25;6.630,25;277,25
07.04.2023 17:45;07.04.2023 18:00;11.917,75;7.113,75;229,00
07.04.2023 18:00;07.04.2023 18:15;12.141,50;7.631,75;383,00
07.04.2023 18:15;07.04.2023 18:30;12.200,25;8.023,25;102,50
07.04.2023 18:30;07.04.2023 18:45;12.211,50;8.348,75;55,00
07.04.2023 18:45;07.04.2023 19:00;12.236,50;8.671,75;11,25
07.04.2023 19:00;07.04.2023 19:15;12.422,25;9.121,25;18,25
07.04.2023 19:15;07.04.2023 19:30;12.428,00;9.281,00;2,25
07.04.2023 19:30;07.04.2023 19:45;12.459,75;9.429,25;2,00
07.04.2023 19:45;07.04.2023 20:00;12.465,25;9.446,50;35,00
07.04.2023 20:00;07.04.2023 20:15;12.420,50;9.436,75;36,25
07.04.2023 20:15;07.04.2023 20:30;12.390,25;9.411,25;35,50
07.04.2023 20:30;07.04.2023 20:45;12.309,25;9.306,25;36,50
07.04.2023 20:45;07.04.2023 21:00;12.191,50;9.201,25;37,00
07.04.2023 21:00;07.04.2023 21:15;12.088,75;9.158,00;35,50
07.04.2023 21:15;07.04.2023 21:30;12.009,25;9.139,25;34,75
07.04.2023 21:30;07.04.2023 21:45;11.879,25;9.049,75;71,75
07.04.2023 21:45;07.04.2023 22:00;11.717,75;8.939,25;119,50
07.04.2023 22:00;07.04.2023 22:15;11.731,00;9.016,00;38,00
07.04.2023 22:15;07.04.2023 22:30;11.573,50;8.896,25;31,75
07.04.2023 22:30;07.04.2023 22:45;11.399,50;8.762,75;33,50
07.04.2023 22:45;07.04.2023 23:00;11.221,50;8.619,75;61,25
07.04.2023 23:00;07.04.2023 23:15;11.189,00;8.586,50;53,25
07.04.2023 23:15;07.04.2023 23:30;11.061,25;8.530,00;58,50
07.04.2023 23:30;07.04.2023 23:45;10.844,00;8.362,75;48,50
07.04.2023 23:45;08.04.2023 00:00;10.629,50;8.206,50;59,25
08.04.2023 00:00;08.04.2023 00:15;10.569,00;8.187,00;16,75
08.04.2023 00:15;08.04.2023 00:30;10.413,00;8.066,75;10,25
08.04.2023 00:30;08.04.2023 00:45;10.240,25;7.829,75;42,00
08.04.2023 00:45;08.04.2023 01:00;10.064,75;7.741,75;64,25
08.04.2023 01:00;08.04.2023 01:15;9.915,75;7.676,25;36,25
08.04.2023 01:15;08.04.2023 01:30;9.783,75;7.617,50;35,50
08.04.2023 01:30;08.04.2023 01:45;9.660,25;7.573,00;30,00
08.04.2023 01:45;08.04.2023 02:00;9.577,25;7.577,25;44,50
08.04.2023 02:00;08.04.2023 02:15;9.514,75;7.567,75;40,00
08.04.2023 02:15;08.04.2023 02:30;9.421,75;7.533,75;39,25
08.04.2023 02:30;08.04.2023 02:45;9.363,50;7.554,75;43,75
08.04.2023 02:45;08.04.2023 03:00;9.343,50;7.618,25;39,75
08.04.2023 03:00;08.04.2023 03:15;9.394,00;7.754,00;6,50
08.04.2023 03:15;08.04.2023 03:30;9.410,50;7.834,25;6,75
08.04.2023 03:30;08.04.2023 03:45;9.421,50;7.913,00;8,25
08.04.2023 03:45;08.04.2023 04:00;9.402,50;7.945,75;7,50
08.04.2023 04:00;08.04.2023 04:15;9.493,50;8.099,25;8,25
08.04.2023 04:15;08.04.2023 04:30;9.529,75;8.172,75;23,00
08.04.2023 04:30;08.04.2023 04:45;9.573,00;8.245,00;23,75
08.04.2023 04:45;08.04.2023 05:00;9.566,00;8.272,50;10,00
08.04.2023 05:00;08.04.2023 05:15;9.601,50;8.331,75;23,25
08.04.2023 05:15;08.04.2023 05:30;9.564,50;8.312,00;23,75
08.04.2023 05:30;08.04.2023 05:45;9.611,50;8.370,25;13,25
08.04.2023 05:45;08.04.2023 06:00;9.684,00;8.445,00;11,75
08.04.2023 06:00;08.04.2023 06:15;9.854,75;8.595,50;7,50
08.04.2023 06:15;08.04.2023 06:30;9.917,50;8.635,25;7,50
08.04.2023 06:30;08.04.2023 06:45;9.991,25;8.692,00;8,25
08.04.2023 06:45;08.04.2023 07:00;9.993,00;8.676,50;18,25
08.04.2023 07:00;08.04.2023 07:15;10.202,75;8.862,25;85,50
08.04.2023 07:15;08.04.2023 07:30;10.280,50;8.878,00;46,25
08.04.2023 07:30;08.04.2023 07:45;10.436,00;8.951,75;14,25
08.04.2023 07:45;08.04.2023 08:00;10.613,00;9.017,50;24,50
08.04.2023 08:00;08.04.2023 08:15;10.989,25;9.290,00;4,50
08.04.2023 08:15;08.04.2023 08:30;11.107,75;9.297,25;3,50
08.04.2023 08:30;08.04.2023 08:45;11.261,00;9.354,50;3,25
08.04.2023 08:45;08.04.2023 09:00;11.373,25;9.362,00;3,00
08.04.2023 09:00;08.04.2023 09:15;11.564,25;9.444,00;1,50
08.04.2023 09:15;08.04.2023 09:30;11.695,25;9.465,75;2,50
08.04.2023 09:30;08.04.2023 09:45;11.795,00;9.426,75;2,50
08.04.2023 09:45;08.04.2023 10:00;11.878,00;9.359,00;12,00
08.04.2023 10:00;08.04.2023 10:15;11.962,00;9.260,25;1,75
08.04.2023 10:15;08.04.2023 10:30;12.046,75;9.194,25;3,25
08.04.2023 10:30;08.04.2023 10:45;12.148,50;9.156,00;26,25
08.04.2023 10:45;08.04.2023 11:00;12.224,25;9.093,50;96,25
08.04.2023 11:00;08.04.2023 11:15;12.264,00;9.003,25;14,50
08.04.2023 11:15;08.04.2023 11:30;12.267,75;8.892,00;3,50
08.04.2023 11:30;08.04.2023 11:45;12.321,75;8.876,00;109,25
08.04.2023 11:45;08.04.2023 12:00;12.249,25;8.752,75;211,75
08.04.2023 12:00;08.04.2023 12:15;12.144,00;8.587,25;68,00
08.04.2023 12:15;08.04.2023 12:30;12.112,50;8.495,25;125,50
08.04.2023 12:30;08.04.2023 12:45;12.049,50;8.354,75;247,00
08.04.2023 12:45;08.04.2023 13:00;12.060,50;8.342,00;254,50
08.04.2023 13:00;08.04.2023 13:15;11.838,50;8.104,25;509,00
08.04.2023 13:15;08.04.2023 13:30;11.806,25;8.090,75;578,00
08.04.2023 13:30;08.04.2023 13:45;11.777,75;8.052,75;715,00
08.04.2023 13:45;08.04.2023 14:00;11.729,75;7.993,75;817,50
08.04.2023 14:00;08.04.2023 14:15;11.629,75;7.881,50;665,00
08.04.2023 14:15;08.04.2023 14:30;11.561,75;7.842,50;715,00
08.04.2023 14:30;08.04.2023 14:45;11.521,25;7.798,00;735,50
08.04.2023 14:45;08.04.2023 15:00;11.480,50;7.762,25;719,25
08.04.2023 15:00;08.04.2023 15:15;11.571,25;7.911,00;981,25
08.04.2023 15:15;08.04.2023 15:30;11.449,75;7.866,00;1.058,50
08.04.2023 15:30;08.04.2023 15:45;11.415,00;7.917,25;973,00
08.04.2023 15:45;08.04.2023 16:00;11.431,75;8.042,50;992,25
08.04.2023 16:00;08.04.2023 16:15;11.455,00;8.201,50;1.120,00
08.04.2023 16:15;08.04.2023 16:30;11.346,75;8.259,75;988,50
08.04.2023 16:30;08.04.2023 16:45;11.427,75;8.464,00;756,75
08.04.2023 16:45;08.04.2023 17:00;11.378,00;8.586,00;558,75
08.04.2023 17:00;08.04.2023 17:15;11.487,75;8.932,25;567,50
08.04.2023 17:15;08.04.2023 17:30;11.556,75;9.196,00;305,00
08.04.2023 17:30;08.04.2023 17:45;11.711,25;9.560,50;77,25
08.04.2023 17:45;08.04.2023 18:00;11.802,00;9.852,50;108,00
08.04.2023 18:00;08.04.2023 18:15;11.971,50;10.214,50;170,75
08.04.2023 18:15;08.04.2023 18:30;11.933,25;10.367,25;100,50
08.04.2023 18:30;08.04.2023 18:45;11.945,00;10.547,25;5,25
08.04.2023 18:45;08.04.2023 19:00;11.950,75;10.685,25;4,00
08.04.2023 19:00;08.04.2023 19:15;12.159,50;11.006,50;69,50
08.04.2023 19:15;08.04.2023 19:30;12.095,75;11.058,75;73,00
08.04.2023 19:30;08.04.2023 19:45;12.036,75;11.084,25;85,00
08.04.2023 19:45;08.04.2023 20:00;11.978,75;11.055,00;72,75
08.04.2023 20:00;08.04.2023 20:15;11.963,00;11.059,50;38,00
08.04.2023 20:15;08.04.2023 20:30;11.798,50;10.889,00;38,00
08.04.2023 20:30;08.04.2023 20:45;11.708,50;10.790,00;39,50
08.04.2023 20:45;08.04.2023 21:00;11.573,00;10.640,75;41,75
08.04.2023 21:00;08.04.2023 21:15;11.390,25;10.464,50;42,50
08.04.2023 21:15;08.04.2023 21:30;11.181,00;10.268,75;44,50
08.04.2023 21:30;08.04.2023 21:45;11.087,00;10.175,25;44,75
08.04.2023 21:45;08.04.2023 22:00;10.939,25;10.020,75;44,75
08.04.2023 22:00;08.04.2023 22:15;10.977,00;10.087,75;44,75
08.04.2023 22:15;08.04.2023 22:30;10.824,75;9.965,50;45,75
08.04.2023 22:30;08.04.2023 22:45;10.664,00;9.839,25;45,25
08.04.2023 22:45;08.04.2023 23:00;10.516,75;9.729,25;46,25
08.04.2023 23:00;08.04.2023 23:15;10.343,00;9.586,00;47,25
08.04.2023 23:15;08.04.2023 23:30;10.224,50;9.485,50;48,00
08.04.2023 23:30;08.04.2023 23:45;10.108,50;9.384,50;50,25
08.04.2023 23:45;09.04.2023 00:00;10.079,75;9.379,25;81,25
09.04.2023 00:00;09.04.2023 00:15;9.887,75;9.214,50;109,00
09.04.2023 00:15;09.04.2023 00:30;9.744,75;9.082,25;235,75
09.04.2023 00:30;09.04.2023 00:45;9.600,25;8.940,25;205,50
09.04.2023 00:45;09.04.2023 01:00;9.491,00;8.845,25;272,25
09.04.2023 01:00;09.04.2023 01:15;9.302,00;8.682,75;175,75
09.04.2023 01:15;09.04.2023 01:30;9.094,50;8.490,50;180,25
09.04.2023 01:30;09.04.2023 01:45;8.981,75;8.392,00;187,75
09.04.2023 01:45;09.04.2023 02:00;8.933,75;8.345,00;232,50
09.04.2023 02:00;09.04.2023 02:15;8.860,25;8.268,25;254,50
09.04.2023 02:15;09.04.2023 02:30;8.829,00;8.244,25;295,00
09.04.2023 02:30;09.04.2023 02:45;8.804,25;8.222,75;297,25
09.04.2023 02:45;09.04.2023 03:00;8.796,75;8.219,25;339,50
09.04.2023 03:00;09.04.2023 03:15;8.830,25;8.254,75;264,75
09.04.2023 03:15;09.04.2023 03:30;8.767,50;8.196,00;233,00
09.04.2023 03:30;09.04.2023 03:45;8.777,00;8.222,75;239,50
09.04.2023 03:45;09.04.2023 04:00;8.779,75;8.231,00;254,00
09.04.2023 04:00;09.04.2023 04:15;8.768,25;8.233,25;284,75
09.04.2023 04:15;09.04.2023 04:30;8.762,25;8.235,00;288,25
09.04.2023 04:30;09.04.2023 04:45;8.808,00;8.275,00;291,75
09.04.2023 04:45;09.04.2023 05:00;8.868,00;8.338,50;256,25
09.04.2023 05:00;09.04.2023 05:15;8.919,25;8.380,50;321,50
09.04.2023 05:15;09.04.2023 05:30;8.913,00;8.373,75;339,25
09.04.2023 05:30;09.04.2023 05:45;8.944,25;8.417,75;289,25
09.04.2023 05:45;09.04.2023 06:00;8.970,25;8.446,75;268,50
09.04.2023 06:00;09.04.2023 06:15;8.909,25;8.388,75;223,75
09.04.2023 06:15;09.04.2023 06:30;8.923,75;8.412,25;196,75
09.04.2023 06:30;09.04.2023 06:45;8.856,25;8.339,75;127,75
09.04.2023 06:45;09.04.2023 07:00;8.872,50;8.311,00;97,00
09.04.2023 07:00;09.04.2023 07:15;8.976,25;8.301,50;68,50
09.04.2023 07:15;09.04.2023 07:30;9.076,50;8.211,00;59,75
09.04.2023 07:30;09.04.2023 07:45;9.181,00;8.048,25;74,75
09.04.2023 07:45;09.04.2023 08:00;9.361,00;7.899,75;117,00
09.04.2023 08:00;09.04.2023 08:15;9.510,75;7.682,75;110,00
09.04.2023 08:15;09.04.2023 08:30;9.676,25;7.479,00;226,00
09.04.2023 08:30;09.04.2023 08:45;9.811,00;7.235,50;273,25
09.04.2023 08:45;09.04.2023 09:00;9.979,50;6.979,25;432,25
09.04.2023 09:00;09.04.2023 09:15;10.208,75;6.730,50;55,75
09.04.2023 09:15;09.04.2023 09:30;10.321,50;6.404,75;86,25
09.04.2023 09:30;09.04.2023 09:45;10.428,00;6.036,75;143,00
09.04.2023 09:45;09.04.2023 10:00;10.405,75;5.558,75;232,25
09.04.2023 10:00;09.04.2023 10:15;10.316,50;5.051,25;143,50
09.04.2023 10:15;09.04.2023 10:30;10.313,50;4.622,75;157,00
09.04.2023 10:30;09.04.2023 10:45;10.408,75;4.366,00;293,50
09.04.2023 10:45;09.04.2023 11:00;10.419,50;4.042,50;492,75
09.04.2023 11:00;09.04.2023 11:15;10.447,75;3.842,75;433,00
09.04.2023 11:15;09.04.2023 11:30;10.592,75;3.825,50;518,25
09.04.2023 11:30;09.04.2023 11:45;10.682,50;3.770,50;611,00
09.04.2023 11:45;09.04.2023 12:00;10.693,50;3.706,50;736,75
09.04.2023 12:00;09.04.2023 12:15;10.566,50;3.501,25;1.276,75
09.04.2023 12:15;09.04.2023 12:30;10.417,00;3.258,75;1.524,25
09.04.2023 12:30;09.04.2023 12:45;10.493,00;3.297,75;1.658,75
09.04.2023 12:45;09.04.2023 13:00;10.434,00;3.189,25;1.737,50
09.04.2023 13:00;09.04.2023 13:15;10.257,50;2.965,25;1.837,00
09.04.2023 13:15;09.04.2023 13:30;10.205,50;2.930,25;1.886,25
09.04.2023 13:30;09.04.2023 13:45;10.072,50;2.821,75;2.002,50
09.04.2023 13:45;09.04.2023 14:00;9.940,25;2.772,25;2.090,00
09.04.2023 14:00;09.04.2023 14:15;9.895,00;2.758,00;2.041,75
09.04.2023 14:15;09.04.2023 14:30;9.723,00;2.681,25;2.011,50
09.04.2023 14:30;09.04.2023 14:45;9.609,00;2.660,25;1.929,00
09.04.2023 14:45;09.04.2023 15:00;9.560,75;2.768,75;2.008,50
09.04.2023 15:00;09.04.2023 15:15;9.383,50;2.631,00;1.975,50
09.04.2023 15:15;09.04.2023 15:30;9.222,00;2.512,75;2.011,50
09.04.2023 15:30;09.04.2023 15:45;9.195,75;2.712,25;1.855,25
09.04.2023 15:45;09.04.2023 16:00;9.127,50;2.904,50;1.806,50
09.04.2023 16:00;09.04.2023 16:15;9.147,50;3.149,00;2.015,50
09.04.2023 16:15;09.04.2023 16:30;9.114,25;3.373,50;1.936,00
09.04.2023 16:30;09.04.2023 16:45;9.100,25;3.644,50;1.806,25
09.04.2023 16:45;09.04.2023 17:00;9.044,25;3.884,50;1.446,75
09.04.2023 17:00;09.04.2023 17:15;9.116,75;4.291,25;1.306,50
09.04.2023 17:15;09.04.2023 17:30;9.148,50;4.750,00;740,00
09.04.2023 17:30;09.04.2023 17:45;9.359,25;5.344,25;298,75
09.04.2023 17:45;09.04.2023 18:00;9.610,75;6.086,00;120,00
09.04.2023 18:00;09.04.2023 18:15;9.907,50;6.814,50;410,50
09.04.2023 18:15;09.04.2023 18:30;10.037,75;7.450,50;299,50
09.04.2023 18:30;09.04.2023 18:45;10.060,00;7.830,25;102,75
09.04.2023 18:45;09.04.2023 19:00;10.199,75;8.276,00;38,75
09.04.2023 19:00;09.04.2023 19:15;10.348,00;8.670,50;55,50
09.04.2023 19:15;09.04.2023 19:30;10.458,75;8.969,25;45,00
09.04.2023 19:30;09.04.2023 19:45;10.598,25;9.232,00;49,25
09.04.2023 19:45;09.04.2023 20:00;10.623,00;9.266,75;48,00
09.04.2023 20:00;09.04.2023 20:15;10.557,00;9.145,00;50,50
09.04.2023 20:15;09.04.2023 20:30;10.584,00;9.056,00;42,50
09.04.2023 20:30;09.04.2023 20:45;10.552,25;8.836,00;41,75
09.04.2023 20:45;09.04.2023 21:00;10.471,50;8.562,00;50,00
09.04.2023 21:00;09.04.2023 21:15;10.660,00;8.597,75;50,00
09.04.2023 21:15;09.04.2023 21:30;10.517,25;8.287,25;50,50
09.04.2023 21:30;09.04.2023 21:45;10.423,25;8.023,25;45,25
09.04.2023 21:45;09.04.2023 22:00;10.308,75;7.735,50;62,25
09.04.2023 22:00;09.04.2023 22:15;10.545,75;7.861,75;16,00
09.04.2023 22:15;09.04.2023 22:30;10.535,25;7.711,25;14,00
09.04.2023 22:30;09.04.2023 22:45;10.331,25;7.346,75;28,25
09.04.2023 22:45;09.04.2023 23:00;10.131,50;6.969,50;38,50
09.04.2023 23:00;09.04.2023 23:15;10.047,50;6.717,50;46,50
09.04.2023 23:15;09.04.2023 23:30;9.840,50;6.374,25;102,75
09.04.2023 23:30;09.04.2023 23:45;9.683,25;6.112,00;172,50
09.04.2023 23:45;10.04.2023 00:00;9.514,00;5.845,50;223,75
10.04.2023 00:00;10.04.2023 00:15;9.402,00;5.597,50;176,75
10.04.2023 00:15;10.04.2023 00:30;9.347,75;5.486,00;145,75
10.04.2023 00:30;10.04.2023 00:45;9.188,00;5.322,50;186,25
10.04.2023 00:45;10.04.2023 01:00;9.090,50;5.196,25;219,00
10.04.2023 01:00;10.04.2023 01:15;8.970,50;5.046,00;99,75
10.04.2023 01:15;10.04.2023 01:30;8.870,75;4.940,00;171,25
10.04.2023 01:30;10.04.2023 01:45;8.843,25;4.908,50;150,75
10.04.2023 01:45;10.04.2023 02:00;8.741,25;4.808,50;201,00
10.04.2023 02:00;10.04.2023 02:15;8.698,25;4.802,25;151,75
10.04.2023 02:15;10.04.2023 02:30;8.663,25;4.784,50;167,25
10.04.2023 02:30;10.04.2023 02:45;8.624,50;4.763,25;134,75
10.04.2023 02:45;10.04.2023 03:00;8.625,00;4.738,75;157,75
10.04.2023 03:00;10.04.2023 03:15;8.588,50;4.603,75;215,50
10.04.2023 03:15;10.04.2023 03:30;8.581,50;4.485,25;259,75
10.04.2023 03:30;10.04.2023 03:45;8.586,50;4.390,75;306,00
10.04.2023 03:45;10.04.2023 04:00;8.632,00;4.401,75;392,75
10.04.2023 04:00;10.04.2023 04:15;8.699,00;4.529,50;480,50
10.04.2023 04:15;10.04.2023 04:30;8.716,75;4.505,50;530,75
10.04.2023 04:30;10.04.2023 04:45;8.720,75;4.465,25;602,00
10.04.2023 04:45;10.04.2023 05:00;8.760,25;4.454,75;594,75
10.04.2023 05:00;10.04.2023 05:15;8.823,75;4.461,75;298,25
10.04.2023 05:15;10.04.2023 05:30;8.877,50;4.467,00;256,75
10.04.2023 05:30;10.04.2023 05:45;8.968,75;4.519,75;209,75
10.04.2023 05:45;10.04.2023 06:00;8.984,25;4.472,00;238,75
10.04.2023 06:00;10.04.2023 06:15;9.023,50;4.378,00;179,75
10.04.2023 06:15;10.04.2023 06:30;9.057,75;4.322,75;212,75
10.04.2023 06:30;10.04.2023 06:45;9.018,75;4.161,00;199,25
10.04.2023 06:45;10.04.2023 07:00;8.971,00;3.902,75;243,75
10.04.2023 07:00;10.04.2023 07:15;9.112,00;3.768,50;161,50
10.04.2023 07:15;10.04.2023 07:30;9.207,00;3.617,25;277,00
10.04.2023 07:30;10.04.2023 07:45;9.329,25;3.358,00;397,50
10.04.2023 07:45;10.04.2023 08:00;9.429,75;3.141,75;389,00
10.04.2023 08:00;10.04.2023 08:15;9.657,50;2.869,25;175,50
10.04.2023 08:15;10.04.2023 08:30;9.817,25;2.595,50;374,00
10.04.2023 08:30;10.04.2023 08:45;10.031,75;2.371,75;472,25
10.04.2023 08:45;10.04.2023 09:00;10.162,25;2.066,50;504,75
10.04.2023 09:00;10.04.2023 09:15;10.349,25;1.854,75;313,25
10.04.2023 09:15;10.04.2023 09:30;10.421,00;1.489,50;590,75
10.04.2023 09:30;10.04.2023 09:45;10.605,75;1.257,25;712,25
10.04.2023 09:45;10.04.2023 10:00;10.712,50;1.117,25;842,75
10.04.2023 10:00;10.04.2023 10:15;10.627,00;353,00;584,75
10.04.2023 10:15;10.04.2023 10:30;10.637,00;-125,50;993,25
10.04.2023 10:30;10.04.2023 10:45;10.782,00;-387,75;1.283,25
10.04.2023 10:45;10.04.2023 11:00;10.825,50;-615,00;1.716,50
10.04.2023 11:00;10.04.2023 11:15;10.870,25;-883,75;1.624,75
10.04.2023 11:15;10.04.2023 11:30;10.986,50;-1.102,50;1.680,75
10.04.2023 11:30;10.04.2023 11:45;11.101,25;-1.207,50;1.760,00
10.04.2023 11:45;10.04.2023 12:00;11.098,25;-1.341,00;1.882,50
10.04.2023 12:00;10.04.2023 12:15;11.147,00;-1.308,50;1.866,50
10.04.2023 12:15;10.04.2023 12:30;11.085,25;-1.409,00;1.972,25
10.04.2023 12:30;10.04.2023 12:45;11.066,00;-1.395,00;2.070,75
10.04.2023 12:45;10.04.2023 13:00;10.920,00;-1.371,50;2.065,25
10.04.2023 13:00;10.04.2023 13:15;10.617,00;-1.408,75;1.994,25
10.04.2023 13:15;10.04.2023 13:30;10.595,00;-1.278,00;2.006,00
10.04.2023 13:30;10.04.2023 13:45;10.598,75;-1.171,50;1.967,00
